EURAB6E1Y=ICAP				EURAB6E15M=ICAP				EURAB6E18M=ICAP				EURAB6E21M=ICAP				EURAB6E2Y=ICAP				EURAB6E3Y=ICAP				EURAB6E4Y=ICAP				EURAB6E5Y=ICAP				EURAB6E6Y=ICAP				EURAB6E7Y=ICAP				EURAB6E8Y=ICAP				EURAB6E9Y=ICAP				EURAB6E10Y=ICAP				EURAB6E11Y=ICAP				EURAB6E12Y=ICAP				EURAB6E13Y=ICAP				EURAB6E14Y=ICAP				EURAB6E15Y=ICAP				EURAB6E16Y=ICAP				EURAB6E17Y=ICAP				EURAB6E18Y=ICAP				EURAB6E19Y=ICAP				EURAB6E20Y=ICAP				EURAB6E21Y=ICAP				EURAB6E22Y=ICAP				EURAB6E23Y=ICAP				EURAB6E24Y=ICAP				EURAB6E25Y=ICAP				EURAB6E26Y=ICAP				EURAB6E27Y=ICAP				EURAB6E28Y=ICAP				EURAB6E29Y=ICAP				EURAB6E30Y=ICAP				EURAB6E35Y=ICAP				EURAB6E40Y=ICAP				EURAB6E50Y=ICAP				EURAB6E60Y=ICAP				EURAB3E1Y=ICAP				EURAB3E18M=ICAP				EURAB3E15M=ICAP				EURAB3E21M=ICAP				EURAB3E2Y=ICAP				EURAB3E3Y=ICAP				EURAB3E4Y=ICAP				EURAB3E5Y=ICAP				EURAB3E6Y=ICAP				EURAB3E7Y=ICAP				EURAB3E8Y=ICAP				EURAB3E9Y=ICAP				EURAB3E10Y=ICAP				EURAB3E11Y=ICAP				EURAB3E12Y=ICAP				EURAB3E15Y=ICAP				EURAB3E20Y=ICAP				EURAB3E25Y=ICAP				EURAB3E30Y=ICAP			
2011 12 08	1.498	1.458	1.478	2011 12 08	1.339	1.289	1.314	2011 12 08	1.422	1.372	1.397	2011 12 08	1.337	1.287	1.3119999999999998	2011 12 08	1.413	1.373	1.393	2011 12 08	1.54	1.5	1.52	2011 12 08	1.763	1.723	1.7429999999999999	2011 12 08	1.997	1.957	1.977	2011 12 08	2.202	2.162	2.182	2011 12 08	2.37	2.33	2.35	2011 12 08	2.502	2.462	2.482	2011 12 08	2.606	2.566	2.586	2011 12 08	2.696	2.656	2.676	2011 12 08	2.773	2.733	2.753	2011 12 08	2.84	2.8	2.82	2011 12 08	2.893	2.853	2.873	2011 12 08	2.933	2.893	2.913	2011 12 08	2.959	2.919	2.939	2011 12 08	2.973	2.933	2.953	2011 12 08	2.978	2.938	2.958	2011 12 08	2.975	2.935	2.955	2011 12 08	2.965	2.925	2.945	2011 12 08	2.951	2.911	2.931	2011 12 08	2.935	2.895	2.915	2011 12 08	2.916	2.876	2.896	2011 12 08	2.896	2.856	2.876	2011 12 08	2.876	2.836	2.856	2011 12 08	2.854	2.814	2.834	2011 12 08	2.832	2.792	2.812	2011 12 08	2.81	2.77	2.79	2011 12 08	2.79	2.75	2.77	2011 12 08	2.772	2.732	2.752	2011 12 08	2.756	2.716	2.7359999999999998	2011 12 08	2.719	2.679	2.699	2011 12 08	2.72	2.68	2.7	2011 12 08	2.738	2.698	2.718	2011 12 08	2.744	2.704	2.724	2011 12 08	1.166	1.116	1.141	2011 12 08	1.134	1.084	1.109	2011 12 08	1.139	1.089	1.1139999999999999	2011 12 08	1.142	1.092	1.117	2011 12 08	1.159	1.109	1.134	2011 12 08	1.327	1.277	1.302	2011 12 08	1.576	1.526	1.5510000000000002	2011 12 08	1.827	1.777	1.802	2011 12 08	2.048	1.998	2.023	2011 12 08	2.229	2.179	2.2039999999999997	2011 12 08	2.373	2.323	2.348	2011 12 08	2.487	2.437	2.4619999999999997	2011 12 08	2.584	2.534	2.559	2011 12 08	2.667	2.617	2.642	2011 12 08	2.74	2.69	2.715	2011 12 08	2.872	2.822	2.847	2011 12 08	2.878	2.828	2.8529999999999998	2011 12 08	2.79	2.74	2.765	2011 12 08	2.698	2.648	2.673
2011 12 07	1.502	1.462	1.482	2011 12 07	1.341	1.291	1.3159999999999998	2011 12 07	1.425	1.375	1.4	2011 12 07	1.339	1.289	1.314	2011 12 07	1.415	1.375	1.395	2011 12 07	1.536	1.496	1.516	2011 12 07	1.756	1.716	1.736	2011 12 07	1.986	1.946	1.966	2011 12 07	2.188	2.148	2.168	2011 12 07	2.353	2.313	2.333	2011 12 07	2.484	2.444	2.464	2011 12 07	2.585	2.545	2.565	2011 12 07	2.674	2.634	2.654	2011 12 07	2.749	2.709	2.729	2011 12 07	2.817	2.777	2.797	2011 12 07	2.87	2.83	2.85	2011 12 07	2.908	2.868	2.888	2011 12 07	2.934	2.894	2.914	2011 12 07	2.948	2.908	2.928	2011 12 07	2.952	2.912	2.932	2011 12 07	2.947	2.907	2.927	2011 12 07	2.936	2.896	2.916	2011 12 07	2.921	2.881	2.901	2011 12 07	2.904	2.864	2.884	2011 12 07	2.885	2.845	2.865	2011 12 07	2.864	2.824	2.844	2011 12 07	2.843	2.803	2.823	2011 12 07	2.821	2.781	2.801	2011 12 07	2.799	2.759	2.779	2011 12 07	2.777	2.737	2.757	2011 12 07	2.757	2.717	2.737	2011 12 07	2.739	2.699	2.719	2011 12 07	2.723	2.683	2.703	2011 12 07	2.686	2.646	2.666	2011 12 07	2.687	2.647	2.667	2011 12 07	2.706	2.666	2.686	2011 12 07	2.712	2.672	2.692	2011 12 07	1.168	1.118	1.143	2011 12 07	1.135	1.085	1.1099999999999999	2011 12 07	1.14	1.09	1.115	2011 12 07	1.143	1.093	1.1179999999999999	2011 12 07	1.159	1.109	1.134	2011 12 07	1.322	1.272	1.2970000000000002	2011 12 07	1.568	1.518	1.5430000000000001	2011 12 07	1.816	1.766	1.791	2011 12 07	2.034	1.984	2.009	2011 12 07	2.213	2.163	2.1879999999999997	2011 12 07	2.355	2.305	2.33	2011 12 07	2.466	2.416	2.441	2011 12 07	2.561	2.511	2.536	2011 12 07	2.642	2.592	2.617	2011 12 07	2.716	2.666	2.691	2011 12 07	2.846	2.796	2.8209999999999997	2011 12 07	2.847	2.797	2.822	2011 12 07	2.756	2.706	2.731	2011 12 07	2.664	2.614	2.6390000000000002
2011 12 06	1.525	1.485	1.505	2011 12 06	1.378	1.328	1.353	2011 12 06	1.456	1.406	1.431	2011 12 06	1.378	1.328	1.353	2011 12 06	1.45	1.41	1.43	2011 12 06	1.591	1.551	1.571	2011 12 06	1.817	1.777	1.797	2011 12 06	2.054	2.014	2.034	2011 12 06	2.258	2.218	2.238	2011 12 06	2.425	2.385	2.405	2011 12 06	2.556	2.516	2.536	2011 12 06	2.659	2.619	2.6390000000000002	2011 12 06	2.749	2.709	2.729	2011 12 06	2.828	2.788	2.808	2011 12 06	2.9	2.86	2.88	2011 12 06	2.957	2.917	2.937	2011 12 06	2.999	2.959	2.979	2011 12 06	3.028	2.988	3.008	2011 12 06	3.044	3.004	3.024	2011 12 06	3.049	3.009	3.029	2011 12 06	3.045	3.005	3.025	2011 12 06	3.035	2.995	3.015	2011 12 06	3.021	2.981	3.001	2011 12 06	3.005	2.965	2.985	2011 12 06	2.987	2.947	2.967	2011 12 06	2.967	2.927	2.947	2011 12 06	2.946	2.906	2.926	2011 12 06	2.925	2.885	2.905	2011 12 06	2.903	2.863	2.883	2011 12 06	2.881	2.841	2.8609999999999998	2011 12 06	2.861	2.821	2.841	2011 12 06	2.842	2.802	2.822	2011 12 06	2.826	2.786	2.806	2011 12 06	2.789	2.749	2.769	2011 12 06	2.787	2.747	2.767	2011 12 06	2.809	2.769	2.789	2011 12 06	2.816	2.776	2.796	2011 12 06	1.201	1.151	1.1760000000000002	2011 12 06	1.173	1.123	1.1480000000000001	2011 12 06	1.177	1.127	1.1520000000000001	2011 12 06	1.182	1.132	1.157	2011 12 06	1.201	1.151	1.1760000000000002	2011 12 06	1.381	1.331	1.3559999999999999	2011 12 06	1.633	1.583	1.608	2011 12 06	1.887	1.837	1.862	2011 12 06	2.106	2.056	2.081	2011 12 06	2.286	2.236	2.261	2011 12 06	2.428	2.378	2.403	2011 12 06	2.54	2.49	2.515	2011 12 06	2.637	2.587	2.612	2011 12 06	2.722	2.672	2.697	2011 12 06	2.8	2.75	2.775	2011 12 06	2.941	2.891	2.916	2011 12 06	2.948	2.898	2.923	2011 12 06	2.86	2.81	2.835	2011 12 06	2.767	2.717	2.742
2011 12 05	1.53	1.49	1.51	2011 12 05	1.382	1.332	1.357	2011 12 05	1.454	1.404	1.4289999999999998	2011 12 05	1.376	1.326	1.351	2011 12 05	1.45	1.41	1.43	2011 12 05	1.585	1.545	1.565	2011 12 05	1.816	1.776	1.796	2011 12 05	2.05	2.01	2.03	2011 12 05	2.254	2.214	2.234	2011 12 05	2.421	2.381	2.401	2011 12 05	2.552	2.512	2.532	2011 12 05	2.656	2.616	2.636	2011 12 05	2.747	2.707	2.727	2011 12 05	2.826	2.786	2.806	2011 12 05	2.898	2.858	2.878	2011 12 05	2.958	2.918	2.938	2011 12 05	3.004	2.964	2.984	2011 12 05	3.036	2.996	3.016	2011 12 05	3.055	3.015	3.035	2011 12 05	3.062	3.022	3.042	2011 12 05	3.059	3.019	3.039	2011 12 05	3.05	3.01	3.03	2011 12 05	3.036	2.996	3.016	2011 12 05	3.02	2.98	3	2011 12 05	3.002	2.962	2.982	2011 12 05	2.983	2.943	2.963	2011 12 05	2.963	2.923	2.943	2011 12 05	2.942	2.902	2.922	2011 12 05	2.92	2.88	2.9	2011 12 05	2.899	2.859	2.879	2011 12 05	2.878	2.838	2.858	2011 12 05	2.86	2.82	2.84	2011 12 05	2.844	2.804	2.824	2011 12 05	2.808	2.768	2.788	2011 12 05	2.809	2.769	2.789	2011 12 05	2.831	2.791	2.811	2011 12 05	2.838	2.798	2.818	2011 12 05	1.208	1.158	1.1829999999999998	2011 12 05	1.173	1.123	1.1480000000000001	2011 12 05	1.18	1.13	1.1549999999999998	2011 12 05	1.18	1.13	1.1549999999999998	2011 12 05	1.202	1.152	1.177	2011 12 05	1.377	1.327	1.3519999999999999	2011 12 05	1.633	1.583	1.608	2011 12 05	1.886	1.836	1.861	2011 12 05	2.104	2.054	2.0789999999999997	2011 12 05	2.284	2.234	2.259	2011 12 05	2.425	2.375	2.4	2011 12 05	2.539	2.489	2.5140000000000002	2011 12 05	2.637	2.587	2.612	2011 12 05	2.722	2.672	2.697	2011 12 05	2.799	2.749	2.774	2011 12 05	2.95	2.9	2.925	2011 12 05	2.964	2.914	2.939	2011 12 05	2.878	2.828	2.8529999999999998	2011 12 05	2.786	2.736	2.761
2011 12 02	1.513	1.473	1.4929999999999999	2011 12 02	1.358	1.308	1.3330000000000002	2011 12 02	1.435	1.385	1.4100000000000001	2011 12 02	1.352	1.302	1.327	2011 12 02	1.425	1.385	1.405	2011 12 02	1.563	1.523	1.543	2011 12 02	1.785	1.745	1.7650000000000001	2011 12 02	2.01	1.97	1.9899999999999998	2011 12 02	2.207	2.167	2.187	2011 12 02	2.367	2.327	2.347	2011 12 02	2.495	2.455	2.475	2011 12 02	2.597	2.557	2.577	2011 12 02	2.687	2.647	2.667	2011 12 02	2.768	2.728	2.748	2011 12 02	2.842	2.802	2.822	2011 12 02	2.902	2.862	2.882	2011 12 02	2.948	2.908	2.928	2011 12 02	2.98	2.94	2.96	2011 12 02	2.998	2.958	2.978	2011 12 02	3.005	2.965	2.985	2011 12 02	3.003	2.963	2.983	2011 12 02	2.993	2.953	2.973	2011 12 02	2.98	2.94	2.96	2011 12 02	2.965	2.925	2.945	2011 12 02	2.948	2.908	2.928	2011 12 02	2.929	2.889	2.909	2011 12 02	2.91	2.87	2.89	2011 12 02	2.89	2.85	2.87	2011 12 02	2.87	2.83	2.85	2011 12 02	2.849	2.809	2.829	2011 12 02	2.83	2.79	2.81	2011 12 02	2.812	2.772	2.792	2011 12 02	2.797	2.757	2.777	2011 12 02	2.761	2.721	2.741	2011 12 02	2.766	2.726	2.746	2011 12 02	2.798	2.758	2.778	2011 12 02	2.809	2.769	2.789	2011 12 02	1.19	1.14	1.165	2011 12 02	1.154	1.104	1.129	2011 12 02	1.161	1.111	1.1360000000000001	2011 12 02	1.16	1.11	1.135	2011 12 02	1.177	1.127	1.1520000000000001	2011 12 02	1.356	1.306	1.331	2011 12 02	1.603	1.553	1.5779999999999998	2011 12 02	1.845	1.795	1.8199999999999998	2011 12 02	2.056	2.006	2.0309999999999997	2011 12 02	2.229	2.179	2.2039999999999997	2011 12 02	2.367	2.317	2.342	2011 12 02	2.478	2.428	2.4530000000000003	2011 12 02	2.575	2.525	2.55	2011 12 02	2.662	2.612	2.637	2011 12 02	2.741	2.691	2.716	2011 12 02	2.892	2.842	2.867	2011 12 02	2.907	2.857	2.882	2011 12 02	2.825	2.775	2.8	2011 12 02	2.738	2.688	2.713
2011 12 01	1.499	1.459	1.479	2011 12 01	1.34	1.29	1.315	2011 12 01	1.428	1.378	1.403	2011 12 01	1.346	1.296	1.3210000000000002	2011 12 01	1.428	1.388	1.408	2011 12 01	1.572	1.532	1.552	2011 12 01	1.788	1.748	1.768	2011 12 01	2.001	1.961	1.9809999999999999	2011 12 01	2.196	2.156	2.176	2011 12 01	2.353	2.313	2.333	2011 12 01	2.478	2.438	2.458	2011 12 01	2.58	2.54	2.56	2011 12 01	2.668	2.628	2.648	2011 12 01	2.75	2.71	2.73	2011 12 01	2.824	2.784	2.804	2011 12 01	2.885	2.845	2.865	2011 12 01	2.934	2.894	2.914	2011 12 01	2.963	2.923	2.943	2011 12 01	2.985	2.945	2.965	2011 12 01	2.988	2.948	2.968	2011 12 01	2.989	2.949	2.969	2011 12 01	2.976	2.936	2.956	2011 12 01	2.962	2.922	2.942	2011 12 01	2.95	2.91	2.93	2011 12 01	2.929	2.889	2.909	2011 12 01	2.914	2.874	2.894	2011 12 01	2.89	2.85	2.87	2011 12 01	2.874	2.834	2.854	2011 12 01	2.849	2.809	2.829	2011 12 01	2.833	2.793	2.813	2011 12 01	2.809	2.769	2.789	2011 12 01	2.796	2.756	2.776	2011 12 01	2.781	2.741	2.761	2011 12 01	2.743	2.703	2.723	2011 12 01	2.747	2.707	2.727	2011 12 01	2.782	2.742	2.762	2011 12 01	2.793	2.753	2.773	2011 12 01	1.168	1.118	1.143	2011 12 01	1.143	1.093	1.1179999999999999	2011 12 01	1.144	1.094	1.119	2011 12 01	1.156	1.106	1.131	2011 12 01	1.179	1.129	1.154	2011 12 01	1.364	1.314	1.339	2011 12 01	1.609	1.559	1.584	2011 12 01	1.841	1.791	1.8159999999999998	2011 12 01	2.05	2	2.025	2011 12 01	2.222	2.172	2.197	2011 12 01	2.358	2.308	2.333	2011 12 01	2.467	2.417	2.442	2011 12 01	2.563	2.513	2.5380000000000003	2011 12 01	2.651	2.601	2.626	2011 12 01	2.73	2.68	2.705	2011 12 01	2.882	2.832	2.857	2011 12 01	2.895	2.845	2.87	2011 12 01	2.812	2.762	2.787	2011 12 01	2.725	2.675	2.7
2011 11 30	1.499	1.459	1.479	2011 11 30	1.342	1.292	1.3170000000000002	2011 11 30	1.432	1.382	1.407	2011 11 30	1.352	1.302	1.327	2011 11 30	1.432	1.392	1.412	2011 11 30	1.577	1.537	1.557	2011 11 30	1.808	1.768	1.788	2011 11 30	2.039	1.999	2.019	2011 11 30	2.24	2.2	2.22	2011 11 30	2.404	2.364	2.384	2011 11 30	2.535	2.495	2.515	2011 11 30	2.643	2.603	2.623	2011 11 30	2.737	2.697	2.717	2011 11 30	2.82	2.78	2.8	2011 11 30	2.894	2.854	2.874	2011 11 30	2.955	2.915	2.935	2011 11 30	3.002	2.962	2.982	2011 11 30	3.035	2.995	3.015	2011 11 30	3.054	3.014	3.034	2011 11 30	3.062	3.022	3.042	2011 11 30	3.06	3.02	3.04	2011 11 30	3.051	3.011	3.031	2011 11 30	3.039	2.999	3.019	2011 11 30	3.025	2.985	3.005	2011 11 30	3.01	2.97	2.99	2011 11 30	2.993	2.953	2.973	2011 11 30	2.976	2.936	2.956	2011 11 30	2.957	2.917	2.937	2011 11 30	2.937	2.897	2.917	2011 11 30	2.917	2.877	2.897	2011 11 30	2.898	2.858	2.878	2011 11 30	2.881	2.841	2.8609999999999998	2011 11 30	2.866	2.826	2.846	2011 11 30	2.834	2.794	2.814	2011 11 30	2.843	2.803	2.823	2011 11 30	2.868	2.828	2.848	2011 11 30	2.879	2.839	2.859	2011 11 30	1.164	1.114	1.139	2011 11 30	1.142	1.092	1.117	2011 11 30	1.14	1.09	1.115	2011 11 30	1.157	1.107	1.1320000000000001	2011 11 30	1.18	1.13	1.1549999999999998	2011 11 30	1.366	1.316	1.3410000000000002	2011 11 30	1.623	1.573	1.5979999999999999	2011 11 30	1.872	1.822	1.847	2011 11 30	2.088	2.038	2.0629999999999997	2011 11 30	2.264	2.214	2.239	2011 11 30	2.405	2.355	2.38	2011 11 30	2.522	2.472	2.497	2011 11 30	2.623	2.573	2.598	2011 11 30	2.712	2.662	2.6870000000000003	2011 11 30	2.791	2.741	2.766	2011 11 30	2.945	2.895	2.92	2011 11 30	2.963	2.913	2.9379999999999997	2011 11 30	2.89	2.84	2.865	2011 11 30	2.806	2.756	2.7809999999999997
2011 11 29	1.58	1.54	1.56	2011 11 29	1.464	1.414	1.439	2011 11 29	1.538	1.488	1.513	2011 11 29	1.486	1.436	1.4609999999999999	2011 11 29	1.559	1.519	1.539	2011 11 29	1.72	1.68	1.7	2011 11 29	1.957	1.917	1.937	2011 11 29	2.187	2.147	2.167	2011 11 29	2.373	2.333	2.353	2011 11 29	2.52	2.48	2.5	2011 11 29	2.637	2.597	2.617	2011 11 29	2.734	2.694	2.714	2011 11 29	2.824	2.784	2.804	2011 11 29	2.9	2.86	2.88	2011 11 29	2.97	2.93	2.95	2011 11 29	3.028	2.988	3.008	2011 11 29	3.073	3.033	3.053	2011 11 29	3.105	3.065	3.085	2011 11 29	3.123	3.083	3.103	2011 11 29	3.131	3.091	3.1109999999999998	2011 11 29	3.128	3.088	3.108	2011 11 29	3.119	3.079	3.099	2011 11 29	3.106	3.066	3.086	2011 11 29	3.091	3.051	3.071	2011 11 29	3.074	3.034	3.054	2011 11 29	3.056	3.016	3.036	2011 11 29	3.037	2.997	3.017	2011 11 29	3.017	2.977	2.997	2011 11 29	2.996	2.956	2.976	2011 11 29	2.975	2.935	2.955	2011 11 29	2.954	2.914	2.934	2011 11 29	2.936	2.896	2.916	2011 11 29	2.921	2.881	2.901	2011 11 29	2.892	2.852	2.872	2011 11 29	2.903	2.863	2.883	2011 11 29	2.928	2.888	2.908	2011 11 29	2.938	2.898	2.918	2011 11 29	1.269	1.219	1.244	2011 11 29	1.264	1.214	1.2389999999999999	2011 11 29	1.256	1.206	1.2309999999999999	2011 11 29	1.284	1.234	1.259	2011 11 29	1.315	1.265	1.29	2011 11 29	1.51	1.46	1.4849999999999999	2011 11 29	1.772	1.722	1.7469999999999999	2011 11 29	2.018	1.968	1.9929999999999999	2011 11 29	2.218	2.168	2.193	2011 11 29	2.379	2.329	2.354	2011 11 29	2.505	2.455	2.48	2011 11 29	2.609	2.559	2.584	2011 11 29	2.706	2.656	2.681	2011 11 29	2.787	2.737	2.762	2011 11 29	2.862	2.812	2.8369999999999997	2011 11 29	3.01	2.96	2.985	2011 11 29	3.027	2.977	3.002	2011 11 29	2.947	2.897	2.9219999999999997	2011 11 29	2.858	2.808	2.833
2011 11 28	1.614	1.574	1.594	2011 11 28	1.519	1.469	1.494	2011 11 28	1.576	1.526	1.5510000000000002	2011 11 28	1.53	1.48	1.505	2011 11 28	1.594	1.554	1.574	2011 11 28	1.745	1.705	1.725	2011 11 28	1.955	1.915	1.935	2011 11 28	2.167	2.127	2.147	2011 11 28	2.343	2.303	2.323	2011 11 28	2.483	2.443	2.463	2011 11 28	2.596	2.556	2.576	2011 11 28	2.689	2.649	2.669	2011 11 28	2.774	2.734	2.754	2011 11 28	2.851	2.811	2.831	2011 11 28	2.92	2.88	2.9	2011 11 28	2.979	2.939	2.959	2011 11 28	3.025	2.985	3.005	2011 11 28	3.058	3.018	3.038	2011 11 28	3.077	3.037	3.057	2011 11 28	3.084	3.044	3.064	2011 11 28	3.082	3.042	3.062	2011 11 28	3.073	3.033	3.053	2011 11 28	3.06	3.02	3.04	2011 11 28	3.046	3.006	3.026	2011 11 28	3.03	2.99	3.01	2011 11 28	3.013	2.973	2.993	2011 11 28	2.995	2.955	2.975	2011 11 28	2.976	2.936	2.956	2011 11 28	2.956	2.916	2.936	2011 11 28	2.936	2.896	2.916	2011 11 28	2.916	2.876	2.896	2011 11 28	2.899	2.859	2.879	2011 11 28	2.884	2.844	2.864	2011 11 28	2.855	2.815	2.835	2011 11 28	2.867	2.827	2.847	2011 11 28	2.897	2.857	2.877	2011 11 28	2.908	2.868	2.888	2011 11 28	1.316	1.266	1.291	2011 11 28	1.307	1.257	1.282	2011 11 28	1.309	1.259	1.2839999999999998	2011 11 28	1.326	1.276	1.3010000000000002	2011 11 28	1.352	1.302	1.327	2011 11 28	1.534	1.484	1.509	2011 11 28	1.767	1.717	1.742	2011 11 28	1.995	1.945	1.9700000000000002	2011 11 28	2.185	2.135	2.16	2011 11 28	2.337	2.287	2.3120000000000003	2011 11 28	2.46	2.41	2.435	2011 11 28	2.561	2.511	2.536	2011 11 28	2.652	2.602	2.627	2011 11 28	2.734	2.684	2.709	2011 11 28	2.808	2.758	2.783	2011 11 28	2.959	2.909	2.934	2011 11 28	2.977	2.927	2.952	2011 11 28	2.903	2.853	2.878	2011 11 28	2.818	2.768	2.793
2011 11 25	1.614	1.574	1.594	2011 11 25	1.517	1.467	1.492	2011 11 25	1.571	1.521	1.5459999999999998	2011 11 25	1.521	1.471	1.496	2011 11 25	1.582	1.542	1.562	2011 11 25	1.712	1.672	1.692	2011 11 25	1.906	1.866	1.8860000000000001	2011 11 25	2.11	2.07	2.09	2011 11 25	2.281	2.241	2.261	2011 11 25	2.42	2.38	2.4	2011 11 25	2.53	2.49	2.51	2011 11 25	2.624	2.584	2.604	2011 11 25	2.708	2.668	2.688	2011 11 25	2.784	2.744	2.7640000000000002	2011 11 25	2.855	2.815	2.835	2011 11 25	2.915	2.875	2.895	2011 11 25	2.961	2.921	2.941	2011 11 25	2.994	2.954	2.974	2011 11 25	3.013	2.973	2.993	2011 11 25	3.021	2.981	3.001	2011 11 25	3.019	2.979	2.999	2011 11 25	3.01	2.97	2.99	2011 11 25	2.998	2.958	2.978	2011 11 25	2.984	2.944	2.964	2011 11 25	2.969	2.929	2.949	2011 11 25	2.952	2.912	2.932	2011 11 25	2.934	2.894	2.914	2011 11 25	2.915	2.875	2.895	2011 11 25	2.895	2.855	2.875	2011 11 25	2.875	2.835	2.855	2011 11 25	2.855	2.815	2.835	2011 11 25	2.838	2.798	2.818	2011 11 25	2.823	2.783	2.803	2011 11 25	2.795	2.755	2.775	2011 11 25	2.806	2.766	2.786	2011 11 25	2.836	2.796	2.816	2011 11 25	2.847	2.807	2.827	2011 11 25	1.316	1.266	1.291	2011 11 25	1.302	1.252	1.2770000000000001	2011 11 25	1.306	1.256	1.2810000000000001	2011 11 25	1.316	1.266	1.291	2011 11 25	1.339	1.289	1.314	2011 11 25	1.499	1.449	1.4740000000000002	2011 11 25	1.717	1.667	1.6920000000000002	2011 11 25	1.937	1.887	1.912	2011 11 25	2.122	2.072	2.097	2011 11 25	2.272	2.222	2.247	2011 11 25	2.392	2.342	2.367	2011 11 25	2.493	2.443	2.468	2011 11 25	2.583	2.533	2.558	2011 11 25	2.664	2.614	2.6390000000000002	2011 11 25	2.74	2.69	2.715	2011 11 25	2.892	2.842	2.867	2011 11 25	2.913	2.863	2.888	2011 11 25	2.84	2.79	2.815	2011 11 25	2.755	2.705	2.73
